# Generated from ../data/13JUL2013/000.dat
time gyro_x lean_est lean_rate_est steer steer_est steer_rate_est v v_c
24.4 -0.00484127 0.00547521 -0.00510757 0.00471239 0.00774411 0.127001 1.93268 2
24.42 0.00828602 0.00776391 -0.00254711 0.00471239 0.00774135 0.118676 1.93705 2
24.44 0.00595484 0.00937365 -0.00135725 0.00502655 0.00794563 0.138298 1.93851 2
24.46 -0.0043075 0.00850788 -0.00324118 0.00565487 0.00860776 0.164011 1.93986 2
24.48 -0.0062098 0.00422224 -0.00785833 0.00596903 0.00916373 0.145666 1.93801 2
24.5 0.00391231 0.00763298 -0.0040401 0.00628319 0.00928587 0.126566 1.94224 2
24.52 -0.000913167 0.0105456 -0.00182528 0.00659734 0.00968409 0.156783 1.94343 2
24.54 -0.00777224 0.00486282 -0.00806817 0.0069115 0.0101941 0.149395 1.93902 2
24.56 -0.00278807 0.0023745 -0.00962484 0.00659734 0.00992811 0.101403 1.94252 2
24.58 -0.000218202 0.00751913 -0.00376978 0.00659734 0.00941056 0.0973318 1.94351 2
24.6 -0.0149312 0.00241876 -0.00919008 0.0069115 0.00929078 0.101481 1.9335 2
24.62 -0.0106776 -0.00137455 -0.0122168 0.00659734 0.00891603 0.0547681 1.95232 2
24.64 -0.00285807 0.00182462 -0.00766756 0.00596903 0.00787679 0.0245845 1.94866 2
24.66 -0.00588592 0.0035273 -0.00566737 0.00534071 0.00700034 0.0427426 1.94524 2
24.68 -0.00301964 0.000667664 -0.0083044 0.00502655 0.00645577 0.0339998 1.94679 2
24.7 -0.000449358 0.00282233 -0.0057926 0.00471239 0.00596597 0.0271964 1.94946 2
24.72 -0.0117217 -0.000241149 -0.00915198 0.00471239 0.00568493 0.0330305 1.94546 2
24.74 -0.00335473 -0.000961884 -0.00946128 0.00408407 0.00521937 0.0135996 1.9478 2
24.76 -0.00132318 0.00147727 -0.00663775 0.00376991 0.00466865 0.00784011 1.94845 2
24.78 -0.012516 -0.000395905 -0.00882336 0.00376991 0.00435754 0.0189201 1.95547 2
24.8 -0.00710841 -0.00220819 -0.0105143 0.00345575 0.00409847 0.00122566 1.95084 2
24.82 0.00101642 0.000759076 -0.00726558 0.00345575 0.00371051 -0.00625416 1.9506 2
24.84 -0.0176135 0.000228016 -0.00851848 0.00345575 0.00366111 0.0191966 1.94924 2
24.86 -0.00883039 -0.00226128 -0.0110509 0.00282743 0.00350134 0.00797127 1.9454 2
24.88 -0.00206667 0.000129421 -0.00822212 0.00251327 0.00302889 -0.000844962 1.95461 2
24.9 -0.0164966 -0.000767395 -0.00917974 0.00219911 0.00262085 0.00721124 1.9634 2
24.92 -0.00536223 0.00112383 -0.00738711 0.00188496 0.00240289 0.0175638 1.95308 2
24.94 -0.00336074 0.00224915 -0.00675976 0.00188496 0.00250289 0.0344672 1.95469 2
